#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
gene_24013           -            745 GH11.hmm             -            177   1.2e-72  242.8   0.6   3   3   6.5e-24   2.9e-21   75.5   0.0    21   169   459   597   439   603 0.78 [Caecom1]
gene_7756            -            410 GH11.hmm             -            177   2.8e-60  202.6  13.0   1   1   8.6e-63   3.8e-60  202.1  13.0     2   177   130   314   129   314 0.93 [Caecom1]
gene_6105            -            432 GH11.hmm             -            177   1.5e-59  200.2   7.7   1   1   3.4e-62   1.5e-59  200.2   7.7     3   172    46   228    44   233 0.93 [Caecom1]
gene_5826            -            440 GH11.hmm             -            177   1.4e-58  197.0   2.5   1   1   3.3e-61   1.4e-58  197.0   2.5     2   173    45   228    44   232 0.94 [Caecom1]
gene_6102            -            506 GH11.hmm             -            177   3.6e-58  195.7   3.7   1   1   1.4e-60     6e-58  195.0   3.7     4   172    46   227    43   232 0.93 [Caecom1]
gene_5827            -            344 GH11.hmm             -            177   3.8e-58  195.6   6.7   1   1   8.5e-61   3.8e-58  195.6   6.7     2   173    45   228    44   232 0.93 [Caecom1]
gene_5682            -            382 GH11.hmm             -            177   4.4e-58  195.4   5.3   1   1   2.5e-60   1.1e-57  194.1   5.3     4   173    46   227    43   231 0.93 [Caecom1]
gene_9684            -            382 GH11.hmm             -            177   4.4e-58  195.4   5.3   1   1   2.5e-60   1.1e-57  194.1   5.3     4   173    46   227    43   231 0.93 [Caecom1]
gene_23844           -            380 GH11.hmm             -            177   1.2e-57  193.9   9.3   1   1   4.4e-60   1.9e-57  193.3   9.3     1   177    46   241    46   241 0.89 [Caecom1]
gene_21557           -            560 GH11.hmm             -            177   2.5e-57  193.0   7.9   1   1   9.7e-60   4.3e-57  192.2   7.9     4   173   364   545   361   549 0.93 [Caecom1]
gene_11181           -            649 GH11.hmm             -            177   3.1e-57  192.7   6.4   1   1   1.6e-59   7.2e-57  191.5   6.4     1   172   450   633   450   638 0.93 [Caecom1]
gene_2867            -           1286 GH11.hmm             -            177   3.2e-57  192.6   6.2   1   1   2.2e-59   9.8e-57  191.0   6.2     2   173    47   230    46   234 0.93 [Caecom1]
gene_3342            -            791 GH11.hmm             -            177   4.2e-57  192.2   5.5   1   1   1.7e-59   7.7e-57  191.4   5.5     2   173    47   230    46   234 0.93 [Caecom1]
gene_3343            -            646 GH11.hmm             -            177   4.9e-57  192.0   4.6   1   1   2.6e-59   1.1e-56  190.8   4.6     2   173    47   230    46   234 0.93 [Caecom1]
gene_9932            -            226 GH11.hmm             -            177   1.1e-43  148.5   1.6   1   1   2.5e-46   1.1e-43  148.5   1.6    50   172     4   132     1   137 0.89 [Caecom1]
gene_7937            -            476 GH11.hmm             -            177   1.1e-42  145.3   2.8   1   1   2.4e-45   1.1e-42  145.3   2.8     3   173    46   224    44   228 0.91 [Caecom1]
gene_7939            -            447 GH11.hmm             -            177     9e-42  142.3   3.1   1   1   3.2e-44   1.4e-41  141.6   3.1     3   173    45   223    43   228 0.91 [Caecom1]
gene_23168           -            506 GH11.hmm             -            177   4.4e-41  140.0   3.6   1   1   1.4e-43   6.4e-41  139.5   3.6     3   173    46   224    44   228 0.91 [Caecom1]
gene_10375           -            431 GH11.hmm             -            177   1.3e-39  135.3   2.8   1   1   2.8e-42   1.3e-39  135.3   2.8     3   172    46   223    44   228 0.91 [Caecom1]
gene_3344            -            317 GH11.hmm             -            177   1.7e-26   92.5   6.0   1   1   3.8e-29   1.7e-26   92.5   6.0     1   120   182   316   182   317 0.88 [Caecom1]
gene_5255            -            576 GH11.hmm             -            177   1.7e-23   82.7   4.0   1   1   6.3e-26   2.8e-23   82.1   4.0     4    95   468   572   465   576 0.88 [Caecom1]
gene_4351            -            364 GH11.hmm             -            177     8e-14   51.3   4.7   1   1   4.1e-16   1.8e-13   50.1   4.7     5   153    96   246    93   257 0.84 [Caecom1]
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /kb/module/work/tmp/output.1777173254839/GH11/GH11.hmm
# Target file:     /kb/module/work/tmp/output.1777173254839/Caecom1.fasta
# Option settings: /kb/module/hmmer/bin/hmmsearch --domtblout /kb/module/work/tmp/output.1777173254839/GH11/GH11-Caecom1.hitout.txt --noali --notextw --domE 1e-15 /kb/module/work/tmp/output.1777173254839/GH11/GH11.hmm /kb/module/work/tmp/output.1777173254839/Caecom1.fasta 
# Current dir:     /kb/module/work/tmp/output.1777173254839
# Date:            Sun Apr 26 03:16:27 2026
# [ok]
